name,artist,danceability,energy,tempo,valence,loudness
Sailor Song,Gigi Perez,0.494,0.413,94.938,0.273,-10.432
Taste,Sabrina Carpenter,0.674,0.907,112.964,0.721,-4.086
That’s So True,Gracie Abrams,0.554,0.808,108.548,0.372,-4.169
BIRDS OF A FEATHER,Billie Eilish,0.747,0.507,104.978,0.438,-10.171
Die With A Smile,Lady Gaga,0.521,0.592,157.969,0.535,-7.777
"Good Luck, Babe!",Chappell Roan,0.7,0.582,116.712,0.785,-5.96
Espresso,Sabrina Carpenter,0.699,0.776,103.963,0.708,-5.282
APT.,ROSÉ,0.777,0.783,149.027,0.939,-4.477
Beautiful Things,Benson Boone,0.472,0.471,105.029,0.219,-5.692
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",0.576,0.884,150.45,0.373,-5.058
"I Love You, I'm Sorry",Gracie Abrams,0.53,0.406,115.94,0.338,-7.507
Kisses (feat. bbyclose),BL3SS,0.793,0.779,142.002,0.687,-4.609
HOT TO GO!,Chappell Roan,0.742,0.757,139.982,0.957,-4.981
Please Please Please,Sabrina Carpenter,0.675,0.586,107.015,0.621,-6.086
A Bar Song (Tipsy),Shaboozey,0.722,0.706,80.969,0.599,-4.857
Lose Control,Teddy Swims,0.561,0.604,159.92,0.242,-4.409
Bed Chem,Sabrina Carpenter,0.739,0.727,94.99,0.676,-5.968
Stargazing,Myles Smith,0.635,0.601,123.994,0.332,-6.129
Too Sweet,Hozier,0.74,0.643,117.025,0.96,-5.446
Stick Season,Noah Kahan,0.664,0.5,117.896,0.801,-6.935
São Paulo (feat. Anitta),The Weeknd,0.574,0.659,127.347,0.506,-7.377
BACKBONE,Chase & Status,0.777,0.934,88.009,0.637,-0.959
Night Changes,One Direction,0.672,0.52,120.001,0.37,-7.747
Disease,Lady Gaga,0.562,0.917,100.987,0.501,-2.768
Austin (Boots Stop Workin'),Dasha,0.756,0.672,114.935,0.739,-6.743
Somedays,Sonny Fodera,0.671,0.753,127.926,0.543,-6.045
WILDFLOWER,Billie Eilish,0.467,0.247,148.101,0.126,-12.002
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",0.373,0.818,97.571,0.361,-3.19
Noid,"Tyler, The Creator",0.38,0.784,82.318,0.418,-6.004
Riptide,Vance Joy,0.483,0.731,101.654,0.484,-6.696
I Had Some Help (Feat. Morgan Wallen),Post Malone,0.644,0.874,128.017,0.753,-4.723
Juno,Sabrina Carpenter,0.633,0.725,130.504,0.64,-4.257
Rah Tah Tah,"Tyler, The Creator",0.661,0.878,82.557,0.514,-4.099
Pink Pony Club,Chappell Roan,0.61,0.65,106.719,0.507,-6.199
Timeless (with Playboi Carti),The Weeknd,0.769,0.722,119.973,0.57,-5.485
Embrace It,Ndotz,0.882,0.645,114.933,0.788,-7.233
Slow It Down,Benson Boone,0.432,0.583,181.489,0.544,-4.682
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",0.505,0.812,80.09,0.664,-3.986
Diet Pepsi,Addison Rae,0.669,0.561,150.069,0.841,-6.538
Thick Of It (feat. Trippie Redd),KSI,0.588,0.826,145.825,0.648,-3.733
Guess featuring billie eilish,Charli xcx,0.78,0.713,130.034,0.615,-4.493
Mr. Brightside,The Killers,0.352,0.911,148.033,0.236,-5.23
All I Want for Christmas Is You,Mariah Carey,0.336,0.627,150.273,0.35,-7.463
See You Again (feat. Kali Uchis),"Tyler, The Creator",0.558,0.559,78.558,0.62,-9.222
Story of My Life,One Direction,0.6,0.663,121.07,0.286,-5.802
Scared To Start,Michael Marcagi,0.527,0.551,148.035,0.443,-11.258
The Door,Teddy Swims,0.731,0.861,127.922,0.759,-5.483
Iris,The Goo Goo Dolls,0.315,0.715,155.925,0.497,-8.072
Like Him (feat. Lola Young),"Tyler, The Creator",0.392,0.555,96.063,0.191,-6.707
NIGHTS LIKE THIS,The Kid LAROI,0.482,0.757,142.579,0.12,-4.586
