name,artist,danceability,energy,tempo,valence,loudness
Without You,Harry Nilsson,0.381,0.186,65.058,0.142,-15.477
Mamma Mia,ABBA,0.749,0.748,137.547,0.827,-7.011
Wonderful Tonight,Eric Clapton,0.572,0.214,95.542,0.485,-15.625
Bat Out of Hell,Meat Loaf,0.204,0.837,171.514,0.392,-7.618
Use Me,Bill Withers,0.758,0.586,154.629,0.947,-13.461
Because the Night,Patti Smith,0.466,0.763,123.539,0.473,-7.748
Don't Look Back,Boston,0.359,0.717,121.878,0.47,-10.309
I Will Always Love You,Dolly Parton,0.446,0.142,135.724,0.156,-13.498
Mississippi Queen,Mountain,0.581,0.624,139.714,0.637,-8.346
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,0.456,0.863,135.962,0.532,-3.551
Lights (2024 Remaster),Journey,0.199,0.557,205.547,0.395,-6.412
After the Love Has Gone,"Earth, Wind & Fire",0.424,0.443,131.675,0.391,-13.45
"For the Love of You, Pts. 1 & 2",The Isley Brothers,0.686,0.374,102.879,0.693,-11.029
Kiss and Say Goodbye,The Manhattans,0.645,0.42,129.084,0.583,-10.09
If You Don't Know Me By Now,Harold Melvin & The Blue Notes,0.459,0.426,93.806,0.486,-10.049
Here You Come Again,Dolly Parton,0.585,0.511,105.898,0.552,-9.37
Mammas Don't Let Your Babies Grow up to Be Cowboys,Waylon Jennings,0.363,0.361,187.711,0.612,-14.398
"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,0.679,0.374,80.86,0.871,-10.565
Dream On,Aerosmith,0.392,0.476,78.031,0.234,-7.583
Baby I'm Yours - Digitally Remastered,Cass Elliot,0.518,0.487,202.695,0.821,-11.032
